trial_id,dataset,model,params,param_hash,cv_score_mean,cv_score_std,training_time_seconds,timestamp,random_seed,cv_folds,status
1,era5_daily,RandomForest,"{""n_estimators"": 50, ""max_depth"": ""20"", ""min_samples_split"": 5, ""min_samples_leaf"": 4, ""max_features"": ""sqrt""}",c9943dae,0.7182296248104595,0.07330698630898867,27.759793392179336,2025-08-02T11:22:02.880101,42,5,COMPLETE
2,era5_daily,RandomForest,"{""n_estimators"": 100, ""max_depth"": ""5"", ""min_samples_split"": 10, ""min_samples_leaf"": 1, ""max_features"": ""sqrt""}",b901901c,0.7247215121310283,0.05762027226499141,102.53610937005143,2025-08-02T11:22:02.880101,43,5,COMPLETE
3,era5_daily,RandomForest,"{""n_estimators"": 100, ""max_depth"": ""15"", ""min_samples_split"": 5, ""min_samples_leaf"": 4, ""max_features"": ""sqrt""}",c08ac249,0.7119217977576285,0.09019541806794588,5.433242195329429,2025-08-02T11:22:02.880101,44,5,COMPLETE
4,era5_daily,RandomForest,"{""n_estimators"": 300, ""max_depth"": ""10"", ""min_samples_split"": 10, ""min_samples_leaf"": 4, ""max_features"": ""sqrt""}",cc2e3321,0.6989786049571652,0.08998774008583868,132.9073239560458,2025-08-02T11:22:02.880101,45,5,COMPLETE
5,era5_daily,RandomForest,"{""n_estimators"": 100, ""max_depth"": ""15"", ""min_samples_split"": 2, ""min_samples_leaf"": 2, ""max_features"": ""log2""}",4316f975,0.6906912122631044,0.05640918172465505,271.3182060987437,2025-08-02T11:22:02.880101,46,5,COMPLETE
6,era5_daily,RandomForest,"{""n_estimators"": 200, ""max_depth"": ""None"", ""min_samples_split"": 5, ""min_samples_leaf"": 4, ""max_features"": ""log2""}",8b08af20,0.8162901066961551,0.022159255197228223,296.9662848060461,2025-08-02T11:22:02.880101,47,5,COMPLETE
7,era5_daily,RandomForest,"{""n_estimators"": 50, ""max_depth"": ""15"", ""min_samples_split"": 2, ""min_samples_leaf"": 4, ""max_features"": ""log2""}",3af08827,0.7349319628569354,0.07927816302279425,43.15006756519948,2025-08-02T11:22:02.880101,48,5,COMPLETE
8,era5_daily,RandomForest,"{""n_estimators"": 100, ""max_depth"": ""10"", ""min_samples_split"": 2, ""min_samples_leaf"": 2, ""max_features"": ""None""}",31f4cf75,0.7428719457144978,0.08056686313975636,201.74095658291844,2025-08-02T11:22:02.880101,49,5,COMPLETE
9,era5_daily,RandomForest,"{""n_estimators"": 200, ""max_depth"": ""None"", ""min_samples_split"": 2, ""min_samples_leaf"": 1, ""max_features"": ""None""}",95d86069,0.6462057702082629,0.02633682102532186,281.4271174826422,2025-08-02T11:22:02.880101,50,5,COMPLETE
10,era5_daily,RandomForest,"{""n_estimators"": 50, ""max_depth"": ""5"", ""min_samples_split"": 5, ""min_samples_leaf"": 1, ""max_features"": ""None""}",689be57a,0.5771786132138343,0.01600082353499463,39.990892881495114,2025-08-02T11:22:02.880101,51,5,COMPLETE
11,era5_daily,RandomForest,"{""n_estimators"": 300, ""max_depth"": ""5"", ""min_samples_split"": 5, ""min_samples_leaf"": 2, ""max_features"": ""sqrt""}",105b01a4,0.6568948622415363,0.03615162726801854,218.2700150906812,2025-08-02T11:22:02.880101,52,5,COMPLETE
