dataset,model,setting,n_features,features,r2,mae,rmse,delta_r2_vs_full
era5_daily,RF,full,8,"latitude,longitude,number,u10,v10,msl,tcc,ssr_flux",0.5124633835962307,0.7748843695916687,1.1686306660776329,0.0
era5_daily,RF,no_uv,6,"latitude,longitude,number,msl,tcc,ssr_flux",0.0452587393466595,1.2600266047692308,1.6353718009367748,-0.4672046442495712
era5_daily,RF,uv_only,2,"u10,v10",0.3860390176460898,0.86352131474157,1.311426771601539,-0.1264243659501409
era5_daily,XGB,full,8,"latitude,longitude,number,u10,v10,msl,tcc,ssr_flux",0.4914402376836627,0.8163771781470416,1.19356110190943,0.0
era5_daily,XGB,no_uv,6,"latitude,longitude,number,msl,tcc,ssr_flux",0.0979746797941735,1.2132195195328812,1.5895823183291873,-0.39346555788948917
era5_daily,XGB,uv_only,2,"u10,v10",0.412180653099605,0.8608043037397388,1.283203681579843,-0.07925958458405769
